sid,star
1212,50 Cent
1213,Kristanna Loken
1214,Navi Rawat
1215,Kuno Becker
1216,Jack Thompson
1217,David Strathairn
1218,Julian Morris
1219,Ray Winstone
1220,Josh Lucas
1221,Terrence Howard
1222,Tom Welling
1223,AnnaSophia Robb
1224,Benjamin Bratt
1225,Steve Howey
1226,Barney Clark
1227,John Hawkes
1228,Felicity Huffman
1229,Bryce Dallas Howard
1230,Embeth Davidtz
1231,Lou Taylor Pucci
1232,Lucas Black
1233,Daniel Craig
1234,Ivana Baquero
1235,Gerardo Taracena
1236,James McAvoy
1237,Ulrich Mühe
1238,Justin Long
1239,Brandon Routh
1240,Steven Strait
1241,Ted Levine
1242,Ben Whishaw
1243,Carice van Houten
1244,Channing Tatum
1245,Sacha Baron Cohen
1246,Mary Elizabeth Winstead
1247,Emma Roberts
1248,Lee Pace
1249,Jesse Metcalfe
1250,Ed Speleers
1251,Beyoncé
1252,Tobin Bell
1253,Mitchel Musso
1254,Jessica Simpson
1255,Jaime Pressly
1256,Sook-Yin Lee
1257,David Alan Basche
1258,Ken Watanabe
1259,Dakota Fanning
1260,Liev Schreiber
1261,Jon Foster
1262,Josh Duhamel
1263,Tyler Perry
1264,John Cena
1265,Sienna Miller
1266,Kevin James
1267,Freddie Highmore
1268,Alyson Hannigan
1269,James Franco
1270,Alison Lohman
1271,Patrick Fugit
1272,Glenn Jacobs
1273,T.I.
1274,Toby Jones
1275,Kristen Bell
1276,Jake T. Austin
1277,Daniel London
1278,Catherine O'Hara
1279,Logan Lerman
1280,Charlie Cox
1281,Michael Cera
1282,Brad Garrett
1283,Elliot Page
1284,Amy Adams
1285,Seth Rogen
1286,Scout Taylor-Compton
1287,Ryan Kwanten
1288,Jerry Seinfeld
1289,Reiko Aylesworth
1290,Dane Cook
1291,Lauren German
1292,Karra Elejalde
1293,Kal Penn
1294,Daniel Hansen
